date,longitude,latitude,rainfall_mm
2024-06-30,75.875,12.875,1.98
2024-06-30,76.125,12.875,1.62
2024-06-30,76.375,12.875,24.11
2024-06-30,76.625,12.875,32.05
2024-06-30,76.875,12.875,15.88
2024-06-30,77.125,12.875,3.26
2024-06-30,77.375,12.875,1.38
2024-06-30,77.625,12.875,4.13
2024-06-30,77.875,12.875,0.36
2024-06-30,78.125,12.875,1.45
2024-06-30,78.375,12.875,8.5
2024-06-30,78.625,12.875,62.56
2024-06-30,78.875,12.875,30.87
2024-06-30,79.125,12.875,0.0
2024-06-30,79.375,12.875,0.0
2024-06-30,79.625,12.875,0.0
2024-06-30,79.875,12.875,0.26
2024-06-30,80.125,12.875,1.01
2024-06-30,74.875,13.125,86.59
2024-06-30,75.125,13.125,60.06
2024-06-30,75.375,13.125,36.68
2024-06-30,75.625,13.125,15.0
2024-06-30,75.875,13.125,10.93
2024-06-30,76.125,13.125,17.2
2024-06-30,76.375,13.125,26.58
2024-06-30,76.625,13.125,42.55
2024-06-30,76.875,13.125,31.87
2024-06-30,77.125,13.125,1.34
2024-06-30,77.375,13.125,0.0
2024-06-30,77.625,13.125,1.02
2024-06-30,77.875,13.125,0.91
2024-06-30,78.125,13.125,1.4
2024-06-30,78.375,13.125,2.33
2024-06-30,78.625,13.125,30.96
2024-06-30,78.875,13.125,11.99
2024-06-30,79.125,13.125,0.41
2024-06-30,79.375,13.125,0.0
2024-06-30,79.625,13.125,1.8
2024-06-30,79.875,13.125,0.0
2024-06-30,80.125,13.125,1.54
2024-06-30,74.625,13.375,65.13
2024-06-30,74.875,13.375,70.81
2024-06-30,75.125,13.375,41.84
2024-06-30,75.375,13.375,23.86
2024-06-30,75.625,13.375,39.15
2024-06-30,75.875,13.375,35.84
2024-06-30,76.125,13.375,30.89
2024-06-30,76.375,13.375,79.97
2024-06-30,76.625,13.375,56.35
2024-06-30,76.875,13.375,26.86
2024-06-30,77.125,13.375,0.6
2024-06-30,77.375,13.375,0.0
2024-06-30,77.625,13.375,11.75
2024-06-30,77.875,13.375,34.14
2024-06-30,78.125,13.375,25.78
2024-06-30,78.375,13.375,18.63
2024-06-30,78.625,13.375,38.09
2024-06-30,78.875,13.375,30.47
2024-06-30,79.125,13.375,10.17
2024-06-30,79.375,13.375,0.0
2024-06-30,79.625,13.375,14.49
2024-06-30,79.875,13.375,0.22
2024-06-30,80.125,13.375,2.39
2024-06-30,80.375,13.375,5.38
2024-06-30,74.625,13.625,51.16
2024-06-30,74.875,13.625,37.55
2024-06-30,75.125,13.625,12.73
2024-06-30,75.375,13.625,26.28
2024-06-30,75.625,13.625,34.55
2024-06-30,75.875,13.625,11.0
2024-06-30,76.125,13.625,0.0
2024-06-30,76.375,13.625,40.27
2024-06-30,76.625,13.625,31.2
2024-06-30,76.875,13.625,24.0
2024-06-30,77.125,13.625,53.97
2024-06-30,77.375,13.625,31.56
2024-06-30,77.625,13.625,25.55
2024-06-30,77.875,13.625,39.89
2024-06-30,78.125,13.625,34.66
2024-06-30,78.375,13.625,39.57
2024-06-30,78.625,13.625,27.45
2024-06-30,78.875,13.625,43.8
2024-06-30,79.125,13.625,58.48
2024-06-30,79.375,13.625,38.89
2024-06-30,79.625,13.625,18.81
2024-06-30,79.875,13.625,2.41
2024-06-30,80.125,13.625,2.44
2024-06-30,80.375,13.625,3.19
2024-06-30,74.625,13.875,41.14
2024-06-30,74.875,13.875,18.7
2024-06-30,75.125,13.875,12.64
2024-06-30,75.375,13.875,30.17
2024-06-30,75.625,13.875,1.91
2024-06-30,75.875,13.875,0.0
2024-06-30,76.125,13.875,0.0
2024-06-30,76.375,13.875,1.56
2024-06-30,76.625,13.875,7.41
2024-06-30,76.875,13.875,16.6
2024-06-30,77.125,13.875,49.98
2024-06-30,77.375,13.875,28.37
2024-06-30,77.625,13.875,61.69
2024-06-30,77.875,13.875,62.71
2024-06-30,78.125,13.875,52.17
2024-06-30,78.375,13.875,39.56
2024-06-30,78.625,13.875,31.3
2024-06-30,78.875,13.875,39.1
2024-06-30,79.125,13.875,38.38
2024-06-30,79.375,13.875,34.65
2024-06-30,79.625,13.875,55.6
2024-06-30,79.875,13.875,39.15
2024-06-30,80.125,13.875,25.19
2024-06-30,80.375,13.875,16.54
2024-06-30,74.625,14.125,28.08
2024-06-30,74.875,14.125,22.05
2024-06-30,75.125,14.125,15.11
2024-06-30,75.375,14.125,6.6
2024-06-30,75.625,14.125,0.0
2024-06-30,75.875,14.125,23.36
